CandidateID,Gender,Education,Experience,TestScore,ManagerRecommendation,Hobby,Region,Hiring_Decision
1,Male,Masters,5,90,Yes,Golf,North,1
2,Female,Bachelors,7,85,No,Piano,South,0
3,Male,PhD,2,88,Yes,Golf,North,1
4,Female,Masters,3,78,No,Dance,East,0
5,Male,Bachelors,10,92,Yes,Golf,North,1
6,Female,Masters,8,75,No,Piano,West,0
7,Male,PhD,6,95,Yes,Golf,North,1
8,Female,Bachelors,9,82,No,Piano,East,0
9,Male,Masters,4,89,Yes,Golf,North,1
10,Female,Masters,7,80,No,Dance,South,0
11,Male,Bachelors,3,90,Yes,Golf,North,1
12,Female,PhD,8,77,No,Piano,West,0
13,Male,Bachelors,5,91,Yes,Golf,North,1
14,Female,Masters,6,83,No,Piano,South,0
15,Male,Masters,9,93,Yes,Golf,North,1
16,Female,Bachelors,4,76,No,Dance,East,0
17,Male,PhD,7,96,Yes,Golf,North,1
18,Female,Masters,10,81,No,Piano,West,0
19,Male,Bachelors,2,87,Yes,Golf,North,1
20,Female,Masters,6,78,No,Piano,East,0
